order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,city,state,postal_code,category,sub_category,product_id,product_name,sales,quantity,discount,profit,profit_margin,order_year,order_month,order_year_month
ORD-2023-103710,2022-11-30,2022-07-12,Same Day,CUST-00838,Sofia Kim,Consumer,South,Charlotte,North Carolina,43476.0,Office Supplies,Binders,OFF-BIN-2071,View Binder,821.31,7,0.0,269.05,0.3276,2022,11,2022-11
ORD-2021-105313,2022-08-07,2022-08-08,Standard Class,CUST-03804,Jennifer Johnson,Consumer,East,Philadelphia,Pennsylvania,39686.0,Technology,Accessories,TEC-ACC-6995,Laptop Stand,5697.55,5,0.3,336.28,0.059,2022,8,2022-08
ORD-2022-105479,2021-10-11,2021-10-15,Standard Class,CUST-03570,Patricia Chen,Home Office,South,Miami,Florida,99698.0,Office Supplies,Binders,OFF-BIN-1180,Heavy-Duty Binder,249.37,4,0.1,25.14,0.1008,2021,10,2021-10
ORD-2023-101253,2022-04-06,2022-04-07,Same Day,CUST-01153,Maria Miller,Home Office,South,Charlotte,North Carolina,54529.0,Furniture,Chairs,FUR-CHA-9053,Stackable Conference Chair,342.31,1,0.15,-35.64,-0.1041,2022,4,2022-04
ORD-2023-109668,2023-03-13,2023-03-17,First Class,CUST-00963,Maria Davis,Home Office,West,Seattle,Washington,58509.0,Office Supplies,Storage,OFF-STO-4246,Metal Storage Cabinet,86.27,3,0.1,25.64,0.2972,2023,3,2023-03
ORD-2023-101496,2021-03-12,2021-03-14,Standard Class,CUST-01241,Maria Williams,Home Office,South,Charlotte,North Carolina,52065.0,Office Supplies,Storage,OFF-STO-8893,"Storage Box, Letter Size",53.75,4,0.15,15.41,0.2867,2021,3,2021-03
ORD-2021-100789,2022-01-09,2022-01-10,Same Day,CUST-00067,David Lopez,Home Office,South,Miami,Florida,41854.0,Office Supplies,Storage,OFF-STO-4246,Metal Storage Cabinet,643.01,8,0.15,130.71,0.2033,2022,1,2022-01
ORD-2022-102020,2021-01-22,2021-01-29,Same Day,CUST-01206,Michael Brown,Corporate,West,San Diego,California,78665.0,Technology,Accessories,TEC-ACC-6995,Laptop Stand,7811.84,8,0.0,2217.06,0.2838,2021,1,2021-01
ORD-2021-103018,2021-11-27,2021-11-28,Same Day,CUST-03064,Fatima Wilson,Home Office,Central,Detroit,Michigan,35276.0,Technology,Copiers,TEC-COP-9024,Desktop Copier,3112.24,7,0.3,81.52,0.0262,2021,11,2021-11
ORD-2021-107692,2022-06-30,2022-07-07,First Class,CUST-03028,Carlos Brown,Home Office,West,Seattle,Washington,41884.0,Office Supplies,Labels,OFF-LAB-6630,Address Labels,97.54,6,0.2,6.75,0.0692,2022,6,2022-06
