Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,City,State,Postal Code,Category,Sub-Category,Product ID,Product Name,Sales,Quantity,Discount,Profit
ORD-2023-103710,30-11-2022,07-12-2022,Same Day,CUST-00838,Sofia Kim,Consumer,South,Charlotte,North Carolina,43476,Office Supplies,Binders,OFF-BIN-2071,View Binder,821.31,7,0.0,269.05
ORD-2021-105313,08/07/2022,08/08/2022,Standard Class,CUST-03804,Jennifer Johnson,Consumer,East,Philadelphia,Pennsylvania,39686,Technology,Accessories,TEC-ACC-6995,Laptop Stand,5697.55,5,0.3,336.28
ORD-2022-105479,10/11/2021,10/15/2021,Standard Class,CUST-03570,Patricia Chen,Home Office,South,Miami,Florida,99698,Office Supplies,Binders,OFF-BIN-1180,Heavy-Duty Binder,249.37,4,0.1,25.14
ORD-2023-101253,2022-04-06,04/07/22,Same Day,CUST-01153,Maria Miller,Home Office,South,Charlotte,North Carolina,54529,Furniture,Chairs,FUR-CHA-9053,Stackable Conference Chair,342.31,1,0.15,-35.64
ORD-2023-109668,03/13/23,2023-03-17,First Class,CUST-00963,Maria Davis,Home Office,West,Seattle,Washington,58509,Office Supplies,Storage,OFF-STO-4246,Metal Storage Cabinet,86.27,3,0.1,25.64
ORD-2023-101496,03/12/21,03/14/2021,Standard Class,CUST-01241,Maria Williams,Home Office,South,Charlotte,North Carolina,52065,Office Supplies,Storage,OFF-STO-8893,"Storage Box, Letter Size",53.75,4,0.15,15.41
ORD-2021-100789,2022-01-09,01/10/2022,Same Day,CUST-00067,David Lopez,Home Office,South,Miami,Florida,41854,Office Supplies,Storage,OFF-STO-4246,Metal Storage Cabinet,643.01,8,0.15,130.71
ORD-2022-102020,2021-01-22,01/29/2021,Same Day,CUST-01206,Michael Brown,Corporate,West,San Diego,California,78665,Technology,Accessories,TEC-ACC-6995,Laptop Stand,7811.84,8,0.0,2217.06
ORD-2021-103018,11/27/21,2021-11-28,Same Day,CUST-03064,Fatima Wilson,Home Office,Central,Detroit,Michigan,35276,TECHNOLOGY,Copiers,TEC-COP-9024,Desktop Copier,3112.24,7,0.3,81.52
ORD-2021-107692,30-06-2022,07/07/22,First Class,CUST-03028,Carlos Brown,Home Office,West,Seattle,Washington,41884,Office Supplies,Labels,OFF-LAB-6630,Address Labels,97.54,6,0.2,6.75
ORD-2023-101880,2023-01-18,01/25/23,Same Day,CUST-00067,David Lopez,Consumer,Central,Dallas,Texas,85119,Office Supplies,Binders,OFF-BIN-1180,Heavy-Duty Binder,95.92,4,0.0,28.3
ORD-2023-103122,2021-03-02,03-03-2021,First Class,CUST-03247,Ahmed Johnson,Home Office,South,Charlotte,North Carolina,63279,Office Supplies,Paper,OFF-PAP-6773,Cardstock Paper,602.31,6,0.15,77.73
ORD-2022-103316,09/22/2021,09/23/2021,First Class,CUST-03528,Ahmed Khan,Consumer,South,Miami,Florida,77080,OFFICE SUPPLIES,Binders,OFF-BIN-2071,View Binder,8.14,1,0.2,0.44
ORD-2021-108313,09-01-2022,2022-01-13,Standard Class,CUST-00483,Patricia Lopez,Home Office,South,Atlanta,Georgia,66010,Office Supplies,Binders,OFF-BIN-1314,3-Ring Binder,633.72,12,0.0,115.82
ORD-2023-100590,11-06-2022,18-06-2022,Same Day,CUST-03068,Jennifer Smith,Consumer,Central,Dallas,Texas,30431,Office Supplies,Storage,OFF-STO-0847,Plastic Storage Bin,520.88,12,0.3,120.26
ORD-2022-100106,03/24/2023,03/26/2023,First Class,CUST-04229,Carlos Wilson,Corporate,South,Orlando,Florida,83731,Office Supplies,Storage,OFF-STO-4246,Metal Storage Cabinet,364.74,8,0.2,110.46
ORD-2023-104556,2021-09-12,15-09-2021,Standard Class,CUST-04385,Carlos Thomas,Corporate,east,Newark,New Jersey,20529,Technology,Phones,TEC-PHO-0151,Cordless Phone,9707.83,9,0.2,1516.38
ORD-2021-101791,10/12/2023,10/17/23,First Class,CUST-00234,Sofia Anderson,Corporate,South,Atlanta,Georgia,90748,Technology,Copiers,TEC-COP-4248,Office Copier Pro,9974.88,10,0.2,-62.57
ORD-2023-102012,11/06/2021,11/10/2021,First Class,CUST-04849,Ahmed Davis,Home Office,Central,Detroit,Michigan,45830,Technology,Copiers,TEC-COP-4248,Office Copier Pro,1529.8,1,0.0,192.52
ORD-2022-101516,09-04-2021,2021-04-11,Standard Class,CUST-00769,Wei Anderson,Corporate,Central,Detroit,Michigan,14917,Technology,Copiers,TEC-COP-9024,Desktop Copier,1079.02,2,0.15,279.72
ORD-2021-106333,02/25/22,03/04/2022,Second Class,CUST-04263,Carlos Chen,Corporate,East,Newark,New Jersey,49126,Office Supplies,Storage,OFF-STO-0847,Plastic Storage Bin,374.41,7,0.1,88.45
